prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
lady,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
banz,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a cat like mice,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a cat like mice,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a cat like mice,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a mice like cat,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
koala,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
army,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Thrones,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
A cute panda wearing a pink horned hat,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Crayon Shin-chan,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
The Banks Of Sacramento,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
cool cat is Cool cat smoking a cigarette by the window,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
cute cat smoking,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Hear the angel sing,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Camels in the desert are grazing,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
The Gods Must Be Crazy,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
brother and sister,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
teacher licking students feet ,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
teacher licking students feet,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
happy,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
anime girl celebrating christmas,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
santa,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
old lady firing machine gun,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
